word,IPA
අතිශක්මතාව,ʌ t̪ i ʃ ʌ k m ʌ t̪ aː ʋ ə
අතිශයින්,ʌ t̪ i ʃ ʌ j i n̪
අතිශයෝක්තිය,ʌ t̪ i ʃ ʌ j oː k t̪ i j ə
අතිශයෝක්ත,ʌ t̪ i ʃ ʌ j oː k t̪ ə
අතිශය,ʌ t̪ i ʃ ʌ j ə
අතිශෝක්තියෙන්,ʌ t̪ i ʃ oː k t̪ i j e n̪
අතිසන්තෘප්තිය,ʌ t̪ i s ʌ n̪ t̪ ʌ ෘ p t̪ i j ə
අතිසන්තෘප්ත,ʌ t̪ i s ʌ n̪ t̪ ʌ ෘ p t̪ ə
අතිහාස,ʌ t̪ i h aː s ə
අතිහිටුවීම,ʌ t̪ i h i ʈ u ʋ iː m ə
අති,ʌ t̪ i
අතීතයට,ʌ t̪ iː t̪ ʌ j ʌ ʈ ə
අතීතයෙහි,ʌ t̪ iː t̪ ʌ j e h i
අතීතය,ʌ t̪ iː t̪ ʌ j ə
අතීතානුයෝගී,ʌ t̪ iː t̪ aː n̪ u j oː ɡ iː
අතීතාවර්ජනය,ʌ t̪ iː t̪ aː ʋ ʌ r ʤ ʌ n̪ ʌ j ə
අතීතාවලෝකනය,ʌ t̪ iː t̪ aː ʋ ʌ l oː k ʌ n̪ ʌ j ə
අතීතාහෘත,ʌ t̪ iː t̪ aː h ʌ ෘ t̪ ə
අතීත,ʌ t̪ iː t̪ ə
අතීසාරය,ʌ t̪ iː s aː r ʌ j ə
අතුගානවා,ʌ t̪ u ɡ aː n̪ ə ʋ a
අතුගෑම,ʌ t̪ u ɡ æː m ə
අතුණුබහන්,ʌ t̪ u ɳ u b ʌ h ʌ n̪
අතුණුබහන,ʌ t̪ u ɳ u b ʌ h ʌ n̪ ə
අතුණ,ʌ t̪ u ɳ ə
අතුරනවා,ʌ t̪ u r ʌ n̪ ə ʋ a
අතුරුපත,ʌ t̪ u r u p ʌ t̪ ə
අතුරුපසක්,ʌ t̪ u r u p ʌ s ʌ k
අතුරුපස,ʌ t̪ u r u p ʌ s ə
අතුරුඵලය,ʌ t̪ u r u pʰ ʌ l ʌ j ə
අතුරුවිධානය,ʌ t̪ u r u ʋ i d̪ʱ aː n̪ ʌ j ə
අතුරු,ʌ t̪ u r u
අතුරෙහි,ʌ t̪ u r e h i
අතුර,ʌ t̪ u r ə
අතුල්ලනවා,ʌ t̪ u l l ʌ n̪ ə ʋ a
අතුල්‍ය,ʌ t̪ u l ‍ j ə
අතුළුව,ʌ t̪ u ɭ u ʋ ə
අතෘප්තිමත්,ʌ t̪ ʌ ෘ p t̪ i m ʌ t̪
අතෘප්තිය,ʌ t̪ ʌ ෘ p t̪ i j ə
අතෘප්ත,ʌ t̪ ʌ ෘ p t̪ ə
අතොළුව,ʌ t̪ o ɭ u ʋ ə
අත,ʌ t̪ ə
අදක්ෂකම,ʌ d̪ ʌ k ʂ ʌ k ʌ m ə
අදක්ෂතාවය,ʌ d̪ ʌ k ʂ ʌ t̪ aː ʋ ʌ j ə
අදක්ෂයා,ʌ d̪ ʌ k ʂ ʌ j
අදක්ෂ,ʌ d̪ ʌ k ʂ ə
අදහනවා,ʌ d̪ ʌ h ʌ n̪ ə ʋ a
අදහන්නා,ʌ d̪ ʌ h ʌ n̪ n̪
අදහස,ʌ d̪ ʌ h ʌ s ə
අද්දරින්,ʌ d̪ d̪ ʌ r i n̪
අද්දර,ʌ d̪ d̪ ʌ r ə
අද්දවනවා,ʌ d̪ d̪ ʌ ʋ ʌ n̪ ə ʋ a
අද්භූතය,ʌ d̪ bʱ uː t̪ ʌ j ə
අද්භූත,ʌ d̪ bʱ uː t̪ ə
අද්වකාත්,ʌ d̪ ʋ ʌ k aː t̪
අද්විතීයයා,ʌ d̪ ʋ i t̪ iː j ʌ j
අද්විතීය,ʌ d̪ ʋ i t̪ iː j ə
අද්වෛතවාදියා,ʌ d̪ ʋ ʌ ෛ t̪ ʌ ʋ a d̪ i j
අද්‍යතන,ʌ d̪ ‍ j ʌ t̪ ʌ n̪ ə
අද්‍රවශීලතාව,ʌ d̪ ‍ r ʌ ʋ ʌ ʃ iː l ʌ t̪ aː ʋ ə
අද්‍රවශීලී,ʌ d̪ ‍ r ʌ ʋ ʌ ʃ iː l iː
අද්‍රව්‍යතාව,ʌ d̪ ‍ r ʌ ʋ ‍ j ʌ t̪ aː ʋ ə
අද්‍රව්‍යමය,ʌ d̪ ‍ r ʌ ʋ ‍ j ʌ m ʌ j ə
අද්‍රව්‍යාත්මක,ʌ d̪ ‍ r ʌ ʋ ‍ j aː t̪ m ʌ k ə
අද්‍රව්‍ය,ʌ d̪ ‍ r ʌ ʋ ‍ j ə
අද්‍රාව්‍යතාව,ʌ d̪ ‍ r aː ʋ ‍ j ʌ t̪ aː ʋ ə
අදානය,ʌ d̪ aː n̪ ʌ j ə
අදායම,ʌ d̪ aː j ʌ m ə
අදාසීනත්වය,ʌ d̪ aː s iː n̪ ʌ t̪ ʋ ʌ j ə
අදාසීන,ʌ d̪ aː s iː n̪ ə
අදාහ්‍ය,ʌ d̪ aː h ‍ j ə
අදාළත්වය,ʌ d̪ aː ɭ ʌ t̪ ʋ ʌ j ə
අදාළතාව,ʌ d̪ aː ɭ ʌ t̪ aː ʋ ə
අදාළව,ʌ d̪ aː ɭ ʌ ʋ ə
අදාළ,ʌ d̪ aː ɭ ə
අදිනවා,ʌ d̪ i n̪ ə ʋ a
අදින්නා,ʌ d̪ i n̪ n̪
අදින්න,ʌ d̪ i n̪ n̪ ə
අදින,ʌ d̪ i n̪ ə
අදිශ,ʌ d̪ i ʃ ə
අදූරදර්ශී,ʌ d̪ uː r ʌ d̪ ʌ r ʃ iː
අදූෂිත,ʌ d̪ uː ʂ i t̪ ə
අදෘශ්‍යමය,ʌ d̪ ʌ ෘ ʃ ‍ j ʌ m ʌ j ə
අදෘශ්‍යමාන,ʌ d̪ ʌ ෘ ʃ ‍ j ʌ m aː n̪ ə
අදෘශ්‍ය,ʌ d̪ ʌ ෘ ʃ ‍ j ə
අදේවවාදී,ʌ d̪ eː ʋ ʌ ʋ a d̪ iː
අදෝෂ,ʌ d̪ oː ʂ ə
අද,ʌ d̪ ə
අධමයා,ʌ d̪ʱ ʌ m ʌ j
අධම,ʌ d̪ʱ ʌ m ə
අධරය,ʌ d̪ʱ ʌ r ʌ j ə
අධර්මය,ʌ d̪ʱ ʌ r m ʌ j ə
අධර්මිෂ්ඨ,ʌ d̪ʱ ʌ r m i ʂ ʈʰ ə
අධර්ම,ʌ d̪ʱ ʌ r m ə
අධරායනය,ʌ d̪ʱ ʌ r aː j ʌ n̪ ʌ j ə
අධර,ʌ d̪ʱ ʌ r ə
අධශ්චර්මය,ʌ d̪ʱ ʌ ʃ ʧ ʌ r m ʌ j ə
අධශ්චර්මීය,ʌ d̪ʱ ʌ ʃ ʧ ʌ r m iː j ə
අධස්චර්මීය,ʌ d̪ʱ ʌ s ʧ ʌ r m iː j ə
අධස්සන්නමනය,ʌ d̪ʱ ʌ s s ʌ n̪ n̪ ʌ m ʌ n̪ ʌ j ə
අධස්සන්නමන,ʌ d̪ʱ ʌ s s ʌ n̪ n̪ ʌ m ʌ n̪ ə
අධ්‍යක්ෂකයා,ʌ d̪ʱ ‍ j ʌ k ʂ ʌ k ʌ j
අධ්‍යක්ෂක,ʌ d̪ʱ ‍ j ʌ k ʂ ʌ k ə
අධ්‍යක්ෂණය,ʌ d̪ʱ ‍ j ʌ k ʂ ʌ ɳ ʌ j ə
අධ්‍යක්ෂවරිය,ʌ d̪ʱ ‍ j ʌ k ʂ ʌ ʋ ʌ r i j ə
අධ්‍යක්ෂවරු,ʌ d̪ʱ ‍ j ʌ k ʂ ʌ ʋ ʌ r u
අධ්‍යක්ෂ,ʌ d̪ʱ ‍ j ʌ k ʂ ə
අධ්‍යයනය,ʌ d̪ʱ ‍ j ʌ j ʌ n̪ ʌ j ə
අධ්‍යයනේන්ද්‍රිය,ʌ d̪ʱ ‍ j ʌ j ʌ n̪ eː n̪ d̪ ‍ r i j ə
අධ්‍යවකාශය,ʌ d̪ʱ ‍ j ʌ ʋ ʌ k aː ʃ ʌ j ə
අධ්‍යාතතිය,ʌ d̪ʱ ‍ j aː t̪ ʌ t̪ i j ə
අධ්‍යාපකයා,ʌ d̪ʱ ‍ j aː p ʌ k ʌ j
අධ්‍යාපනඥයා,ʌ d̪ʱ ‍ j aː p ʌ n̪ ʌ ɡn ʌ j
අධ්‍යාපනය,ʌ d̪ʱ ‍ j aː p ʌ n̪ ʌ j ə
අධ්‍යාපනික,ʌ d̪ʱ ‍ j aː p ʌ n̪ i k ə
අධ්‍යාප්‍යතාව,ʌ d̪ʱ ‍ j aː p ‍ j ʌ t̪ aː ʋ ə
අධ්‍යාප්‍ය,ʌ d̪ʱ ‍ j aː p ‍ j ə
අධ්‍යාය,ʌ d̪ʱ ‍ j aː j ə
අධ්‍යාහාර,ʌ d̪ʱ ‍ j aː h aː r ə
අධ්‍යාහෘත,ʌ d̪ʱ ‍ j aː h ʌ ෘ t̪ ə
අධාර්මිකත්වය,ʌ d̪ʱ aː r m i k ʌ t̪ ʋ ʌ j ə
අධාර්මික,ʌ d̪ʱ aː r m i k ə
අධිකකම,ʌ d̪ʱ i k ʌ k ʌ m ə
අධිකතර,ʌ d̪ʱ i k ʌ t̪ ʌ r ə
අධිකත්වය,ʌ d̪ʱ i k ʌ t̪ ʋ ʌ j ə
අධිකතාව,ʌ d̪ʱ i k ʌ t̪ aː ʋ ə
අධිකය,ʌ d̪ʱ i k ʌ j ə
අධිකරණය,ʌ d̪ʱ i k ʌ r ʌ ɳ ʌ j ə
අධිකරණ,ʌ d̪ʱ i k ʌ r ʌ ɳ ə
අධිකව,ʌ d̪ʱ i k ʌ ʋ ə
අධිකාරය,ʌ d̪ʱ i k aː r ʌ j ə
අධිකාරිත්වය,ʌ d̪ʱ i k aː r i t̪ ʋ ʌ j ə
අධිකාරිය,ʌ d̪ʱ i k aː r i j ə
අධිකාරී,ʌ d̪ʱ i k aː r iː
අධික,ʌ d̪ʱ i k ə
අධිගමය,ʌ d̪ʱ i ɡ ʌ m ʌ j ə
අධිගෘහිත,ʌ d̪ʱ i ɡ ʌ ෘ h i t̪ ə
අධිචිත්තවේගී,ʌ d̪ʱ i ʧ i t̪ t̪ ʌ ʋ eː ɡ iː
අධිතප්ත,ʌ d̪ʱ i t̪ ʌ p t̪ ə
අධිතර්පණය,ʌ d̪ʱ i t̪ ʌ r p ʌ ɳ ʌ j ə
අධිතෘප්තිය,ʌ d̪ʱ i t̪ ʌ ෘ p t̪ i j ə
අධිධාරණය,ʌ d̪ʱ i d̪ʱ aː r ʌ ɳ ʌ j ə
අධිධාවනය,ʌ d̪ʱ i d̪ʱ aː ʋ ʌ n̪ ʌ j ə
අධිනීතිඥයා,ʌ d̪ʱ i n̪ iː t̪ i ɡn ʌ j
අධිපතිකම,ʌ d̪ʱ i p ʌ t̪ i k ʌ m ə
අධිපතියා,ʌ d̪ʱ i p ʌ t̪ i j
අධිපති,ʌ d̪ʱ i p ʌ t̪ i
අධිභාරය,ʌ d̪ʱ i bʱ aː r ʌ j ə
අධිමාත්‍ර,ʌ d̪ʱ i m aː t̪ ‍ r ə
අධිමානුෂික,ʌ d̪ʱ i m aː n̪ u ʂ i k ə
අධිමූත්‍රකය,ʌ d̪ʱ i m uː t̪ ‍ r ʌ k ʌ j ə
අධිරාජයා,ʌ d̪ʱ i r aː ʤ ʌ j
අධිරාජ්‍යයා,ʌ d̪ʱ i r aː ʤ ‍ j ʌ j
අධිරාජ්‍යය,ʌ d̪ʱ i r aː ʤ ‍ j ʌ j ə
අධිරාජ්‍යවාදය,ʌ d̪ʱ i r aː ʤ ‍ j ʌ ʋ a d̪ ʌ j ə
අධිරාජ්‍යවාදියා,ʌ d̪ʱ i r aː ʤ ‍ j ʌ ʋ a d̪ i j
අධිරාජ්‍යවාදී,ʌ d̪ʱ i r aː ʤ ‍ j ʌ ʋ a d̪ iː
අධිරාජිනී,ʌ d̪ʱ i r aː ʤ i n̪ iː
අධිවර්තක,ʌ d̪ʱ i ʋ ʌ r t̪ ʌ k ə
අධිවර්ධනය,ʌ d̪ʱ i ʋ ʌ r d̪ʱ ʌ n̪ ʌ j ə
අධිවර්ධී,ʌ d̪ʱ i ʋ ʌ r d̪ʱ iː
අධිවෘක්ක,ʌ d̪ʱ i ʋ ʌ ෘ k k ə
අධිවේග,ʌ d̪ʱ i ʋ eː ɡ ə
අධිවෝල්ටියතාව,ʌ d̪ʱ i ʋ oː l ʈ i j ʌ t̪ aː ʋ ə
අධිවෝල්ටීයතාව,ʌ d̪ʱ i ʋ oː l ʈ iː j ʌ t̪ aː ʋ ə
අධිශ්‍රේෂ්ඨත්වය,ʌ d̪ʱ i ʃ ‍ r eː ʂ ʈʰ ʌ t̪ ʋ ʌ j ə
අධිශික්ෂණය,ʌ d̪ʱ i ʃ i k ʂ ʌ ɳ ʌ j ə
අධිශූන්‍යභාවී,ʌ d̪ʱ i ʃ uː n̪ ‍ j ʌ bʱ aː ʋ iː
අධිශෝෂක,ʌ d̪ʱ i ʃ oː ʂ ʌ k ə
අධිශෝෂණය,ʌ d̪ʱ i ʃ oː ʂ ʌ ɳ ʌ j ə
අධිශෝෂිතය,ʌ d̪ʱ i ʃ oː ʂ i t̪ ʌ j ə
අධිෂ්ඨානය,ʌ d̪ʱ i ʂ ʈʰ aː n̪ ʌ j ə
අධිසංවේදී,ʌ d̪ʱ i s ʌ ʋ eː d̪ iː
අධිසන්තෘප්තිය,ʌ d̪ʱ i s ʌ n̪ t̪ ʌ ෘ p t̪ i j ə
අධිසන්තෘප්ත,ʌ d̪ʱ i s ʌ n̪ t̪ ʌ ෘ p t̪ ə
අධිස්ථාපනය,ʌ d̪ʱ i s t̪ʰ aː p ʌ n̪ ʌ j ə
අධිස්වභාවවාදය,ʌ d̪ʱ i s ʋ ʌ bʱ aː ʋ ʌ ʋ a d̪ ʌ j ə
අධිහිත,ʌ d̪ʱ i h i t̪ ə
අධි,ʌ d̪ʱ i
අධීකය,ʌ d̪ʱ iː k ʌ j ə
අධීක්ෂකයා,ʌ d̪ʱ iː k ʂ ʌ k ʌ j
අධීක්ෂක,ʌ d̪ʱ iː k ʂ ʌ k ə
අධීක්ෂණය,ʌ d̪ʱ iː k ʂ ʌ ɳ ʌ j ə
අධීපතිකම,ʌ d̪ʱ iː p ʌ t̪ i k ʌ m ə
අධීශ්චරයා,ʌ d̪ʱ iː ʃ ʧ ʌ r ʌ j
අධීශ්වරත්වය,ʌ d̪ʱ iː ʃ ʋ ʌ r ʌ t̪ ʋ ʌ j ə
අධීශ්වරයා,ʌ d̪ʱ iː ʃ ʋ ʌ r ʌ j
අධීශ්වර,ʌ d̪ʱ iː ʃ ʋ ʌ r ə
අධෘතිකරණය,ʌ d̪ʱ ʌ ෘ t̪ i k ʌ r ʌ ɳ ʌ j ə
අධෘතිකෘත,ʌ d̪ʱ ʌ ෘ t̪ i k ʌ ෘ t̪ ə
අධෙර්යය,ʌ d̪ʱ e r j ʌ j ə
අධෛර්ය,ʌ d̪ʱ ʌ ෛ r j ə
අධෝගමන,ʌ d̪ʱ oː ɡ ʌ m ʌ n̪ ə
අධෝජන්‍ය,ʌ d̪ʱ oː ʤ ʌ n̪ ‍ j ə
අධෝජායාංගතාව,ʌ d̪ʱ oː ʤ aː j aː ɡ ʌ t̪ aː ʋ ə
අධෝජීව්හ,ʌ d̪ʱ oː ʤ iː ʋ h ə
අධෝධ්වනි,ʌ d̪ʱ oː d̪ʱ ʋ ʌ n̪ i
අධෝභෞම,ʌ d̪ʱ oː bʱ au m ə
අධෝමානව,ʌ d̪ʱ oː m aː n̪ ʌ ʋ ə
අධෝමාර්ගය,ʌ d̪ʱ oː m aː r ɡ ʌ j ə
අධෝරක්ත,ʌ d̪ʱ oː r ʌ k t̪ ə
අධෝලිපිය,ʌ d̪ʱ oː l i p i j ə
අධෝලිපි,ʌ d̪ʱ oː l i p i
අධෝවර්ධනය,ʌ d̪ʱ oː ʋ ʌ r d̪ʱ ʌ n̪ ʌ j ə
අධෝවරාශික,ʌ d̪ʱ oː ʋ ʌ r aː ʃ i k ə
අධෝව්‍යුහය,ʌ d̪ʱ oː ʋ ‍ j u h ʌ j ə
අධෝවාතය,ʌ d̪ʱ oː ʋ a t̪ ʌ j ə
අනංගයා,ʌ n̪ ʌ ɡ ʌ j
අනක්‍රමික,ʌ n̪ ʌ k ‍ r ʌ m i k ə
අනගිව,ʌ n̪ ʌ ɡ i ʋ ə
අනගි,ʌ n̪ ʌ ɡ i
අනතර්ගත,ʌ n̪ ʌ t̪ ʌ r ɡ ʌ t̪ ə
අනතරායකාරී,ʌ n̪ ʌ t̪ ʌ r aː j ʌ k aː r iː
අනත්ථය,ʌ n̪ ʌ t̪ t̪ʰ ʌ j ə
අනතුරුදායක,ʌ n̪ ʌ t̪ u r u d̪ aː j ʌ k ə
අනතුරුව,ʌ n̪ ʌ t̪ u r u ʋ ə
අනතුර,ʌ n̪ ʌ t̪ u r ə
අනනවා,ʌ n̪ ʌ n̪ ə ʋ a
අනන්තතාව,ʌ n̪ ʌ n̪ t̪ ʌ t̪ aː ʋ ə
අනන්තයට,ʌ n̪ ʌ n̪ t̪ ʌ j ʌ ʈ ə
අනන්තය,ʌ n̪ ʌ n̪ t̪ ʌ j ə
අනන්තරතාව,ʌ n̪ ʌ n̪ t̪ ʌ r ʌ t̪ aː ʋ ə
අනන්තර,ʌ n̪ ʌ n̪ t̪ ʌ r ə
අනන්ත,ʌ n̪ ʌ n̪ t̪ ə
අනන්මනන්,ʌ n̪ ʌ n̪ m ʌ n̪ ʌ n̪
අනන්‍යකරණය,ʌ n̪ ʌ n̪ ‍ j ʌ k ʌ r ʌ ɳ ʌ j ə
අනන්‍යතාව,ʌ n̪ ʌ n̪ ‍ j ʌ t̪ aː ʋ ə
අනන්‍යය,ʌ n̪ ʌ n̪ ‍ j ʌ j ə
අනන්‍යසාධාරණ,ʌ n̪ ʌ n̪ ‍ j ʌ s aː d̪ʱ aː r ʌ ɳ ə
අනන්‍ය,ʌ n̪ ʌ n̪ ‍ j ə
අනනුකූල,ʌ n̪ ʌ n̪ u k uː l ə
අනනුගුණත්වය,ʌ n̪ ʌ n̪ u ɡ u ɳ ʌ t̪ ʋ ʌ j ə
අනනුගුණ,ʌ n̪ ʌ n̪ u ɡ u ɳ ə
අනනුමතිය,ʌ n̪ ʌ n̪ u m ʌ t̪ i j ə
අනනුයෝජ්‍ය,ʌ n̪ ʌ n̪ u j oː ʤ ‍ j ə
අනනුරූප්‍යය,ʌ n̪ ʌ n̪ u r uː p ‍ j ʌ j ə
අනනුසාර,ʌ n̪ ʌ n̪ u s aː r ə
අනනූකලනය,ʌ n̪ ʌ n̪ uː k ʌ l ʌ n̪ ʌ j ə
අනපසර්ජනීය,ʌ n̪ ʌ p ʌ s ʌ r ʤ ʌ n̪ iː j ə
අනපූර්ව,ʌ n̪ ʌ p uː r ʋ ə
අනපේක්ෂිත,ʌ n̪ ʌ p eː k ʂ i t̪ ə
අනභිප්‍රේත,ʌ n̪ ʌ bʱ i p ‍ r eː t̪ ə
අනභිභවනීය,ʌ n̪ ʌ bʱ i bʱ ʌ ʋ ʌ n̪ iː j ə
අනම්‍යතාව,ʌ n̪ ʌ m ‍ j ʌ t̪ aː ʋ ə
අනම්‍ය,ʌ n̪ ʌ m ‍ j ə
අනර්ඝකම,ʌ n̪ ʌ r ɡʱ ʌ k ʌ m ə
අනර්ඝ,ʌ n̪ ʌ r ɡʱ ə
අනර්ථකර,ʌ n̪ ʌ r t̪ʰ ʌ k ʌ r ə
අනර්ථකාමී,ʌ n̪ ʌ r t̪ʰ ʌ k aː m iː
අනර්ථකාරී,ʌ n̪ ʌ r t̪ʰ ʌ k aː r iː
අනර්ථදායක,ʌ n̪ ʌ r t̪ʰ ʌ d̪ aː j ʌ k ə
අනර්ථයට,ʌ n̪ ʌ r t̪ʰ ʌ j ʌ ʈ ə
අනර්ථය,ʌ n̪ ʌ r t̪ʰ ʌ j ə
අනර්ථ,ʌ n̪ ʌ r t̪ʰ ə
අනලංකෘත,ʌ n̪ ʌ l ʌ k ʌ ෘ t̪ ə
අනලස්ව,ʌ n̪ ʌ l ʌ s ʋ ə
අනලස්,ʌ n̪ ʌ l ʌ s
අනල්ප,ʌ n̪ ʌ l p ə
අනවකරණීය,ʌ n̪ ʌ ʋ ʌ k ʌ r ʌ ɳ iː j ə
අනවකාශ,ʌ n̪ ʌ ʋ ʌ k aː ʃ ə
අනවද්‍ය,ʌ n̪ ʌ ʋ ʌ d̪ ‍ j ə
අනවධානය,ʌ n̪ ʌ ʋ ʌ d̪ʱ aː n̪ ʌ j ə
අනවධාන,ʌ n̪ ʌ ʋ ʌ d̪ʱ aː n̪ ə
අනවබෝධ,ʌ n̪ ʌ ʋ ʌ b oː d̪ʱ ə
අනවරතයෙන්,ʌ n̪ ʌ ʋ ʌ r ʌ t̪ ʌ j e n̪
අනවරත,ʌ n̪ ʌ ʋ ʌ r ʌ t̪ ə
අනවශ්‍යකත්වය,ʌ n̪ ʌ ʋ ʌ ʃ ‍ j ʌ k ʌ t̪ ʋ ʌ j ə
අනවශ්‍ය,ʌ n̪ ʌ ʋ ʌ ʃ ‍ j ə
අනවශේෂයෙන්,ʌ n̪ ʌ ʋ ʌ ʃ eː ʂ ʌ j e n̪
අනවසේධිත,ʌ n̪ ʌ ʋ ʌ s eː d̪ʱ i t̪ ə
අනවහිත,ʌ n̪ ʌ ʋ ʌ h i t̪ ə
අනවේක්ෂාව,ʌ n̪ ʌ ʋ eː k ʂ aː ʋ ə
අනහෝසිකර,ʌ n̪ ʌ h oː s i k ʌ r ə
අන්තඃකපාල,ʌ n̪ t̪ ʌ ඃ k ʌ p aː l ə
අන්තඃකේන්ද්‍රය,ʌ n̪ t̪ ʌ ඃ k eː n̪ d̪ ‍ r ʌ j ə
අන්තඃප්ලාස්මය,ʌ n̪ t̪ ʌ ඃ p l aː s m ʌ j ə
අන්තඃපුරය,ʌ n̪ t̪ ʌ ඃ p u r ʌ j ə
අන්තඋපරිමය,ʌ n̪ t̪ u p ʌ r i m ʌ j ə
අන්තගාමි,ʌ n̪ t̪ ʌ ɡ aː m i
අන්තගාමී,ʌ n̪ t̪ ʌ ɡ aː m iː
අන්තයේම,ʌ n̪ t̪ ʌ j eː m ə
අන්තය,ʌ n̪ t̪ ʌ j ə
අන්තරංගික,ʌ n̪ t̪ ʌ r ʌ ɡ i k ə
අන්තරංග,ʌ n̪ t̪ ʌ r ʌ ɡ ə
අන්තරඃස්ථාව,ʌ n̪ t̪ ʌ r ʌ ඃ s t̪ʰ aː ʋ ə
අන්තරණය,ʌ n̪ t̪ ʌ r ʌ ɳ ʌ j ə
අන්තරය,ʌ n̪ t̪ ʌ r ʌ j ə
අන්තරරූපතාව,ʌ n̪ t̪ ʌ r ʌ r uː p ʌ t̪ aː ʋ ə
අන්තරස්ථාපනය,ʌ n̪ t̪ ʌ r ʌ s t̪ʰ aː p ʌ n̪ ʌ j ə
අන්තරස්ථ,ʌ n̪ t̪ ʌ r ʌ s t̪ʰ ə
අන්තර්ගතය,ʌ n̪ t̪ ʌ r ɡ ʌ t̪ ʌ j ə
අන්තර්ගත,ʌ n̪ t̪ ʌ r ɡ ʌ t̪ ə
අන්තර්ග්‍රහණය,ʌ n̪ t̪ ʌ r ɡ ‍ r ʌ h ʌ ɳ ʌ j ə
අන්තර්ඡේදිත,ʌ n̪ t̪ ʌ r ʧʰ eː d̪ i t̪ ə
අන්තර්ජන්‍ය,ʌ n̪ t̪ ʌ r ʤ ʌ n̪ ‍ j ə
අන්තර්ජාතික,ʌ n̪ t̪ ʌ r ʤ aː t̪ i k ə
අන්තර්ජාතීය,ʌ n̪ t̪ ʌ r ʤ aː t̪ iː j ə
අන්තර්ජාලය,ʌ n̪ t̪ ʌ r ʤ aː l ʌ j ə
අන්තර්ධානය,ʌ n̪ t̪ ʌ r d̪ʱ aː n̪ ʌ j ə
අන්තර්ප්‍රාදේශීය,ʌ n̪ t̪ ʌ r p ‍ r aː d̪ eː ʃ iː j ə
අන්තර්යෝගී,ʌ n̪ t̪ ʌ r j oː ɡ iː
අන්තර්යෝග,ʌ n̪ t̪ ʌ r j oː ɡ ə
අන්තර්ලේඛනය,ʌ n̪ t̪ ʌ r l eː kʰ ʌ n̪ ʌ j ə
අන්තර්වර්තනය,ʌ n̪ t̪ ʌ r ʋ ʌ r t̪ ʌ n̪ ʌ j ə
අන්තර්වර්තිත,ʌ n̪ t̪ ʌ r ʋ ʌ r t̪ i t̪ ə
අන්තර්වෘන්තීය,ʌ n̪ t̪ ʌ r ʋ ʌ ෘ n̪ t̪ iː j ə
අන්තර්ස්ථාපනය,ʌ n̪ t̪ ʌ r s t̪ʰ aː p ʌ n̪ ʌ j ə
අන්තර්ස්ථාපිත,ʌ n̪ t̪ ʌ r s t̪ʰ aː p i t̪ ə
අන්තර්සෛලීය,ʌ n̪ t̪ ʌ r s ʌ ෛ l iː j ə
අන්තර්හිත,ʌ n̪ t̪ ʌ r h i t̪ ə
අන්තර්,ʌ n̪ t̪ ʌ r
අන්තරාංග,ʌ n̪ t̪ ʌ r aː ɡ ə
අන්තරාචය,ʌ n̪ t̪ ʌ r aː ʧ ʌ j ə
අන්තරානීක,ʌ n̪ t̪ ʌ r aː n̪ iː k ə
අන්තරාභරණය,ʌ n̪ t̪ ʌ r aː bʱ ʌ r ʌ ɳ ʌ j ə
අන්තරාභිජනනය,ʌ n̪ t̪ ʌ r aː bʱ i ʤ ʌ n̪ ʌ n̪ ʌ j ə
අන්තරායකර,ʌ n̪ t̪ ʌ r aː j ʌ k ʌ r ə
අන්තරායකාරී,ʌ n̪ t̪ ʌ r aː j ʌ k aː r iː
අන්තරායය,ʌ n̪ t̪ ʌ r aː j ʌ j ə
අන්තරාලයය,ʌ n̪ t̪ ʌ r aː l ʌ j ʌ j ə
අන්තරාලය,ʌ n̪ t̪ ʌ r aː l ʌ j ə
අන්තරාල,ʌ n̪ t̪ ʌ r aː l ə
අන්තරාවලෝකනය,ʌ n̪ t̪ ʌ r aː ʋ ʌ l oː k ʌ n̪ ʌ j ə
අන්තරාවලෝකන,ʌ n̪ t̪ ʌ r aː ʋ ʌ l oː k ʌ n̪ ə
අන්තරාසර්ග,ʌ n̪ t̪ ʌ r aː s ʌ r ɡ ə
අන්තරාස්‍රැතිය,ʌ n̪ t̪ ʌ r aː s ‍ r æ t̪ i j ə
අන්තරීක්ෂණය,ʌ n̪ t̪ ʌ r iː k ʂ ʌ ɳ ʌ j ə
අන්තරීක්ෂණ,ʌ n̪ t̪ ʌ r iː k ʂ ʌ ɳ ə
අන්තරීක්ෂය,ʌ n̪ t̪ ʌ r iː k ʂ ʌ j ə
අන්තරීක්ෂ,ʌ n̪ t̪ ʌ r iː k ʂ ə
අන්තවාදය,ʌ n̪ t̪ ʌ ʋ a d̪ ʌ j ə
අන්තවාදියා,ʌ n̪ t̪ ʌ ʋ a d̪ i j
අන්තශ්චතුර්ථක,ʌ n̪ t̪ ʌ ʃ ʧ ʌ t̪ u r t̪ʰ ʌ k ə
අන්තශ්චර්මය,ʌ n̪ t̪ ʌ ʃ ʧ ʌ r m ʌ j ə
අන්තශ්ඡදය,ʌ n̪ t̪ ʌ ʃ ʧʰ ʌ d̪ ʌ j ə
අන්තස්ථය,ʌ n̪ t̪ ʌ s t̪ʰ ʌ j ə
අන්ත්‍රදාහය,ʌ n̪ t̪ ‍ r ʌ d̪ aː h ʌ j ə
අන්ත්‍රය,ʌ n̪ t̪ ‍ r ʌ j ə
